nm_ins;descr;evid_clas_cat;categ;evid_territ;territ;evid_gr_impl;gr_impl;evid_res;res;evid_part_cid;tp_part_cidada;evid_coprod;coprod_cid;evid_orq_mult_IA;uso_evid_orq_mult_IA;autor;ano;titulo;referencia;_timestamp;input_prompt;input_document_text;input_document_size;_run;_error;_raw
Future Proof Civic Participation Platforms;Platforms utilizing behavioral insight-driven policy making, artificial intelligence, and big data analytics to enhance civic engagement.;Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making Artificial Intelligence and Big Data Analytics;"Insights e Dados para Participação Cidadã;Automatização e IA";International Conference on Sustainability Innovation in Computing and Engineering (ICSICE 2024);Internacional;In International Conference on Sustainability Innovation in Computing and Engineering (ICSICE 2024);em desenvolvimento para produção;Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making;Melhoria na formulação de políticas públicas através da integração de insights comportamentais e análise de dados, promovendo a criação de valor público por meio da participação cívica tecnológica.;Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making;coletiva;Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making;Os cidadãos participam via plataformas digitais que utilizam análise de dados e IA para moldar políticas públicas baseadas em insights comportamentais.;Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making Artificial Intelligence and Big Data Analytics;"What: Orquestração de plataformas de participação; Why: Para tornar políticas públicas mais eficazes; Where: Plataformas digitais; When: Contexto de conferência 2024; Who: Governo e cidadãos; How: Através de análise de Big Data e IA; How much: Não especificado.";Raj, M. S., Kaulwar, P. K., Raja, P. S., Pokhriyal, S., Ponnusamy, S., & Ramani, G. G.;2025;Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making Artificial Intelligence and Big Data Analytics;Raj, M. S., Kaulwar, P. K., Raja, P. S., Pokhriyal, S., Ponnusamy, S., & Ramani, G. G. (2025, May). Future Proof Civic Participation Platforms with Behavioral Insight Driven Policy Making Artificial Intelligence and Big Data Analytics. In International Conference on Sustainability Innovation in Computing and Engineering (ICSICE 2024) (pp. 648-660). Atlantis Press. https://doi.org/10.2991/978-94-6463-718-2_56;2,02605E+13;New Prompt;Cahyaningrum - 2026 - The Impact of Big Data Technology on Public Decision Making in Digital Governance Literature Review.pdf_part_003;6416;gemini-3.1-flash-lite-preview;;
Integrated Construction Services Information System (ICSIS);An integrated information system designed for business licensing and public procurement in the Indonesian construction sector, requiring data sharing from companies, experts, project managers, and procurement committees.;The system was designed primarily to improve the quality of business licensing and public procurement services. It also has the potential to improve collaboration.;"Coprodução de Valor Público; Governança Digital; Canal inteligente de serviços";In 2017, through the Ministry of Public Works and Housing, the Indonesian government launched DGT’s project...;Indonésia;As it enters its sixth year of operation, ICSIS utilisation remains below optimal, with only 32% of target users using it.;implementado em produção;Data inconsistencies and manipulation to meet business licencing and tendering requirements remain common. Business permits were revoked in response to complaints about the invalidity of fulfilment requirements, such as company and expert experience data. Approximately 500,000 business permits and 1,640 expert competency certificates were revoked and declared invalid from 2022 to the middle of 2023.;Resultados mistos: embora o sistema centralize dados, a adoção é baixa (32%), gerando inconsistência de dados, necessidade de revogação de 500 mil licenças e 1.640 certificados, além de 9.600 reclamações mensais, indicando destruição parcial de valor público devido à falha na adesão e qualidade dos dados.;Company managers are responsible for sharing company data in ICSIS, whereas construction experts, as individuals, must share professional data in the system.;individual;Users must adopt the system not only by using data and information for work purposes but also by sharing data with the system, resulting in a single set of construction data.;O cidadão (empresas, especialistas) coproduz o valor público ao alimentar o sistema com dados obrigatórios de licenciamento e experiência profissional, essenciais para a integridade do banco de dados governamental.;nenhum;nenhum;Dewi Chomistriana, Agus Taufik Mulyono and Najid;2024;Predicting adoption behaviour to digital government transformation in construction sector;"CHOMISTRIANA, Dewi; MULYONO, Agus Taufik; NAJID. Predicting adoption behaviour to digital government transformation in construction sector. Journal of Construction in Developing Countries, 29(2), 181–205, 2024.";2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Integrated Information System (IS) for Construction Sector;A comprehensive digital communication and collaboration platform designed for stakeholders in the construction sector to share data and processes.;"This collaboration extends beyond merely opening digital communication channels; it spans processes, data and technology, symbolising a comprehensive approach to advancement in the construction sector.";"Coprodução de Valor Público;Governança Digital;Insights e Dados para Participação Cidadã";users spanning the 34 provinces of Indonesia;Indonésia;In doing so, we proposed that adoption behaviour to the system could be influenced not only by factors in the integrated model but also by such variables as trust, resistance and technology readiness.;proposto;The IS success model, which focuses on the benefits created through a user-centric approach, forms the basis for assessing the success of information technology applications.;The system aims to enhance transparency through public data access, improve individual work performance, and foster collaborative governance among construction stakeholders.;All shared data are accessible to the public, embodying a commitment to transparency and openness.;individual;"This collaboration extends beyond merely opening digital communication channels; it spans processes, data and technology";Users participate by actively sharing data and information within the system, contributing to the transparency and collaborative framework of the construction sector's digital government services.;nenhum;nenhum;Dewi Chomistriana, Agus Taufik Mulyono and Najid;2023;Digital Government Transformation in Construction;Chomistriana, D., Mulyono, A. T., & Najid. (2023). Digital Government Transformation in Construction. Penerbit Universiti Sains Malaysia.;2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Information System (IS) for Public Procurement and Licensing;An integrated digital system used for construction business licensing, tendering processes, owner estimates, and contract implementation.;"The impact of using IS on the ease of obtaining business permits or tender awards; Preparing owner estimate, preparing and carrying out tenders’ process, contract implementation, etc.";"Automatização e IA; Canal inteligente de serviços; Governança Digital";Responses were obtained from respondents from 34 provinces of Indonesia.;Indonésia;The online survey was conducted from August 2022 to February 2023. The 1.800 targeted respondents were contacted... Responses were collected from 1,656 respondents.;implementado em produção;"IS’s impact on the cost efficiency of business licensing and public procurement process; The impact of IS on work completion time.";The system improves work quality, efficiency in business licensing and public procurement, and reduces completion time, creating public value through process modernization.;The intention to obtain services and information through IS;individual;Workload impact of mandatory data input into IS;The citizen or private actor acts by providing mandatory data inputs for business licensing and tendering, which triggers the system's automated processes.;;nenhum;Dewi Chomistriana, Agus Taufik Mulyono and Najid;2023;Digital Government Transformation in Construction;Chomistriana, D., Mulyono, A. T., & Najid. (2023). Digital Government Transformation in Construction. Penerbit Universiti Sains Malaysia.;2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Integrated Information Systems (IS);Digital government transformation tools including business licensing and procurement systems used by government officials and private sector construction stakeholders.;The findings show that factors influencing behavioural intention to adopt integrated IS include trust, technology readiness, performance and effort expectations.;"Governança Digital; Canal inteligente de serviços";The respondents, hailing from 34 provinces and of varying educational backgrounds and ages;Indonésia;The R2 values for the dependent variables of government official samples (performance expectancy, behavioural intention and user behaviour to adopt the IS) are 0.701, 0.629 and 0.626, respectively.;implementado em produção;"The use of inaccurate data and information can introduce risks or legal consequences; the study confirms that information quality significantly influences users’ perceptions of performance expectancy.";Significant positive impact on user performance through enhanced accuracy, relevance, and reliability of data. Trust and technology readiness are the strongest predictors for the intention to adopt these digital government services.;The interaction between the public and the government through digital government initiatives depends on the foundation of trust;individual;The study highlights the importance of user experience in digital government services, including data sharing by users.;Users participate by sharing personal and professional data within the system for licensing and procurement processes.;nenhum;nenhum;Dewi Chomistriana, Agus Taufik Mulyono and Najid;2024;Digital Government Transformation in Construction;"CHOMISTRIANA, D.; MULYONO, A. T.; NAJID. Digital Government Transformation in Construction. Penerbit Universiti Sains Malaysia, 2024.";2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Digital Government Transformation (DGT) in Construction;A collaborative service system that encourages interactivity, simplifies business processes, and integrates data and technology across institutions to manage business licensing and procurement.;DGT is a collaborative service system that encourages interactivity, simplifies business processes and integrates processes, data and technology across various institutions.;"Coprodução de Valor Público; Governança Digital; Canal inteligente de serviços";The questionnaire was only distributed to project managers, procurement committees, construction companies and experts.;Setor de Construção Civil;This initiative actively engages construction stakeholders not only as system users but also as parties who share data and information.;implementado em produção;Project managers and committees express their intention to use digital government with the aim of enhancing their performance in managing the business licensing process and procurement of goods and services.;Enhancement of performance in managing business licensing and procurement, streamlining work processes, and increasing productivity through system integration.;This initiative actively engages construction stakeholders not only as system users but also as parties who share data and information.;coletiva;This initiative actively engages construction stakeholders not only as system users but also as parties who share data and information.;Stakeholders engage by acting as parties who share data and information to facilitate integrated government services.;;nenhum;Dewi Chomistriana, Agus Taufik Mulyono e Najid;2024;Digital Government Transformation in Construction;Chomistriana, D., Mulyono, A. T., & Najid. (2024). Digital Government Transformation in Construction. Penerbit Universiti Sains Malaysia.;2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
Public value e-government adoption model;A model designed to understand and validate the drivers of the public value generated by e-government adoption.;Validation of a public value e-government adoption model;Coprodução de Valor Público;Not specified;global;Validation of a public value e-government adoption model;implementado com resultados de coprodução ou impacto de valor público;Understanding the drivers of the public value of e-government;Identification of key drivers that enhance public value delivery in e-government services.;Validation of a public value e-government adoption model;individual;Validation of a public value e-government adoption model;Citizens participate by adopting and utilizing e-government services, which validates the public value model.;nenhum;nenhum;Mensah, I.K., Zeng, G. and Mwakapesa, D.S.;2022;Understanding the drivers of the public value of e-government: Validation of a public value e-government adoption model;Mensah, I.K., Zeng, G. and Mwakapesa, D.S. (2022). Understanding the drivers of the public value of e-government: Validation of a public value e-government adoption model. Frontiers in Psychology, 13: 962615.;2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_005;11918;gemini-3.1-flash-lite-preview;;
Public value approach to eGovernment success;A framework for measuring e-government success by focusing on the public value created for stakeholders.;Measuring eGovernment success: A public value approach;"Coprodução de Valor Público; Governança Digital";Not specified;global;Measuring eGovernment success: A public value approach;implementado com resultados de coprodução ou impacto de valor público;Measuring eGovernment success: A public value approach;Provides a methodology to evaluate whether e-government initiatives successfully create public value for citizens and institutions.;Measuring eGovernment success: A public value approach;coletiva;Measuring eGovernment success: A public value approach;Stakeholders and citizens participate in the definition and evaluation of successful public value outcomes.;nenhum;nenhum;Scott, M., DeLone, W.H. and Golden, W.;2016;Measuring eGovernment success: A public value approach;Scott, M., DeLone, W.H. and Golden, W. (2016). Measuring eGovernment success: A public value approach. European Journal of Information Systems, 25(3): 187–208.;2,02605E+13;New Prompt;Chomistriana et al. - 2024 - Predicting Adoption Behaviour to Digital Government Transformation in Construction Sector.pdf_part_005;11918;gemini-3.1-flash-lite-preview;;
Digital Transformation (DT) Model;A model of digital transformation in the public sector integrating digital technologies, organizational shifts, and citizen-centric methodologies to improve administrative responsiveness and transparency.;The goal of Digital Transformation of the Public Sector is the achievement of a better quality of life for citizens, via a more responsive and transparent administration and governance.;"Coprodução de Valor Público; Governança Digital";the cities of Barcelona and Chicago;cidade;the cities of Barcelona and Chicago. Finally, a look at the future of this area is also provided.;implementado em produção;The goal of Digital Transformation of the Public Sector is the achievement of a better quality of life for citizens, via a more responsive and transparent administration and governance.;Improved quality of life for citizens, more responsive and transparent administration and governance, and organizational flexibility.;Digital citizens use ICT technologies to communicate, access information, and participate in social, economic, and political activities.;individual;DT is the process of integrating digital technologies... in order to account for regulations as well as for a citizen-centric methodology.;Through citizen-centric methodology integration and digital service interaction for social, economic, and political activities.;None mentioned;nenhum;Paolo Ciancarini, Raffaele Giancarlo, Gennaro Grimaudo;2024;Digital Transformation in the Public Administrations: A Guided Tour for Computer Scientists;"CIANCARINI, P.; GIANCARLO, R.; GRIMAUDO, G. Digital Transformation in the Public Administrations: A Guided Tour for Computer Scientists. IEEE Access, v. 12, p. 22841-22852, 2024.";2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Co-Creation of Services;A people-driven delivery model that places citizen participation at the center of service design and implementation.;Citizens are central for the DT. They are involved in the Co-Creation process of services.;"Coprodução de Valor Público; Insights e Dados para Participação Cidadã";This new model places citizen participation at the center of most service design and implementation initiatives.;"cidade; nação";In fact, for the design of services, a people-driven delivery model is more and more the one of choice;implementado em produção;Their success must be evaluated by their users, namely the citizens and various kinds of decision-makers, according to their perception of the value created;Enhancement of public service delivery and policymaking based on citizen perception of value created.;Such a new model places citizen participation at the center of most service design;individual;They are involved in the Co-Creation process of services;Citizens participate in the design and implementation phases of public services, ensuring services are perceived as valuable.;nenhum;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. VOLUME 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Open Data Ecosystem;A digital infrastructure for collecting, managing, and sharing public data across administrations to ensure interoperability and transparency.;Open data are the main source of information in the DT process of a PA... data are no longer seen as an asset to exploit... but as a social infrastructure;"Governança Digital; Insights e Dados para Participação Cidadã";Scale factors make these problems even more difficult, since data can refer to a continent, a nation, a city;"continente; nação; cidade";However, due to the heterogeneity and lack of interoperability of the data sources, major problems arise.;em desenvolvimento para produção;making available their data to improve transparency and accountability;Improvement of transparency, accountability, and the ability to derive actionable insights from data for public service delivery.;data are no longer seen as an asset to exploit... but as a social infrastructure that must be made available to policy makers and citizens;coletiva;data are no longer seen as an asset... but as a social infrastructure that must be made available to policy makers and citizens to ensure and improve the well-being of Society;Cidadãos acessam dados abertos como infraestrutura social para fiscalização e auxílio na tomada de decisão pública.;nenhum;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. VOLUME 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Co-creation through feedback loops;A continuous improvement process where public administrations implement tools to exploit citizen feedback in the service evolution phase.;Co-creation is a concept that strongly depends on team-building and on the digitization culture [...] It is a continuous improvement process, in which PAs must implement the necessary tools to successfully exploit feedback from the citizens in the evolution phase of a service;"Coprodução de Valor Público; Insights e Dados para Participação Cidadã";inspired by a case study regarding the city of Chicago [52];cidade;PAs must implement the necessary tools to successfully exploit feedback;em desenvolvimento para produção;This approach changes the way in which public services are evaluated, placing the users at the 'center'.;Enhances the quality of public services by placing users at the center of evaluation and evolution, fostering successful production of services.;PAs must implement the necessary tools to successfully exploit feedback from the citizens;individual;co-creation... enables the actors involved to work together to produce public services successfully;Citizens provide feedback during the service evolution phase, which the PA uses to refine and improve public service delivery.;;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;Ciancarini, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, vol. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Digital Twins for Smart Cities;A virtual representation of physical city objects, including inhabitants, that interacts with the real objects and evolves with them to support city management.;Digital Twins [97], which is a new and promising approach to design and implement a smart city, based on a virtual representation of its main physical city objects;"Automatização e IA; Governo Digital Proativo";specifically for Brazil. The components structure that comes out is hierarchical;"cidade; país";Section V -A is devoted to this topic, with a focus on Digital Twins [97];proposto;a virtual representation [...] that interacts with the real objects and evolves with them;Provides a virtual environment to simulate urban operations, aiming to improve quality of life, efficiency, and competitiveness.;including the inhabitants;coletiva;none;nenhum;a virtual representation [...] that interacts with the real objects and evolves with them;"What: Digital Twin system for city management; Why: To improve urban efficiency and quality of life; Where: Smart Cities; When: In real-time interaction; Who: Public Administration and inhabitants; How: Through virtual representation of physical objects; How much: Not specified.";P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;Ciancarini, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, vol. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
DECODE (Decentralised Citizen Owned Data Ecosystem);A combination of decentralized software technologies, such as Blockchains and Cryptography, to give citizens more control over access and usage of their data.;Its goal is to develop a combination of decentralized software technologies, such as Blockchains and Cryptography, to give citizens more control over access and usage of their data.;"Coprodução de Valor Público; Cidadania Digital; Insights e Dados para Participação Cidadã";The EU DECODE (Decentralised Citizen Owned Data Ecosystem) project;continente;Barcelona has leveraged DECODE through the citizen Science Data Governance pilot project;implementado com resultados de coprodução ou impacto de valor público;With the mentioned DECODE pilot project, the focus was on developing rules that would allow users to code and share their data with different target groups and with different specificities, generating more trust in the use of the collected data.;The instrument increased trust in data usage by enabling citizens to control and selectively share their environmental sensor data, preventing negative profiling while maintaining data granularity for public value.;DECODE technology allows data to be encoded and shared anonymously.;individual;users to code and share their data with different target groups;Cidadãos atuam na definição de regras de compartilhamento de seus dados de sensores ambientais, garantindo controle sobre a privacidade e o propósito de uso das informações.;nenhum;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, v. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Predictive Machine Learning Model for Food Safety Inspections;A predictive model that takes into account various data sources (waste, crime, sanitation) to support public health staff in prioritizing food inspections.;has developed a predictive machine learning model that takes into account various data sources... to support the numerically small staff of the Chicago Department of Public Health;"Automatização e IA; Governo Digital Proativo";The City of Chicago;cidade;The head of the CDPH... is able to assign food inspectors first to the highest-risk restaurants.;implementado em produção;By using this model, potential foodborne illnesses could be prevented or their severity limited, as the violations were identified and treated earlier;Redução do risco de doenças transmitidas por alimentos e otimização do trabalho da equipe de inspeção, permitindo intervenções mais rápidas e eficientes em restaurantes de alto risco.;Maintaining the data quality levels present on the OGD portal requires great citizen participation;coletiva;requires great citizen participation, and an active engagement of the PAs that are owners and providers of this data;Participação cidadã indireta através da manutenção da qualidade dos dados que alimentam os modelos de IA, essencial para a eficácia das decisões preditivas.;developed a predictive machine learning model that takes into account various data sources, such as waste, crime, and sanitation data... The head of the CDPH... is able to assign food inspectors first to the highest-risk restaurants.;"What: Food safety predictive model; Why: To prioritize food inspections based on risk; Where: Chicago; When: Post-2012; Who: CDPH and Allstate data team; How: Aggregating waste, crime, and sanitation data into a predictive model via a Shiny web app; How much: Not specified.";P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, v. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Steam Barcelona;Educational programme focusing on building competencies within city organizations with the aim of strengthening the digital skills of the citizens.;First, the launch of an educational programme (Steam Barcelona), focusing on building competencies within city organizations, with the aim of strengthening the digital skills of the citizens.;"Cidadania Digital; Governança Digital";Barcelona City Council;cidade;the Barcelona City Council... planned to provide public services;implementado em produção;strengthening the digital skills of the citizens;Strengthening of digital skills among citizens and capacity building within city organizations.;focusing on building competencies... of the citizens;individual;the aim of strengthening the digital skills of the citizens;Citizens participate by engaging in educational programs to build digital competencies.;nenhum;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;Ciancarini, P., et al. (2024). DT in the PAs: A Guided Tour for Computer Scientists. VOLUME 12.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
Data Analytics Framework (DAF);Interoperability framework that collects and processes data from PAs and external actors, defining protocols and regulations that facilitate the integration and orchestration of services.;the main part of the interoperability framework is the Data Analytics Framework (DAF), which collects and processes data from PAs and external actors;"Coprodução de Valor Público; Governança Digital; Insights e Dados para Participação Cidadã";Italian PA;país;The DAF empowers each PA to orchestrate the creation of public value;implementado com resultados de coprodução ou impacto de valor público;The DAF empowers each PA to orchestrate the creation of public value by establishing the actors that can have access to the data;Facilitates integration and orchestration of services, enabling the creation of public value by defining access protocols and regulations.;make them publicly available and accessible through a Web user interface;individual;each level of government and the different public agencies are responsible for regulating how data is accessed;Citizens and external actors interact with services through a web interface, enabled by the orchestration of data access.;defines protocols and regulations that facilitate the integration and orchestration of services;"What: Data integration and service orchestration; Why: To facilitate interoperability and public value creation; Where: Italian Public Administration; When: 2017-2024; Who: Public Agencies and external actors; How: Via Web user interface and defined protocols; How much: N/A";P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;Ciancarini, P., et al. (2024). DT in the PAs: A Guided Tour for Computer Scientists. VOLUME 12.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_004;12000;gemini-3.1-flash-lite-preview;;
CLIPS Platform;A cloud-based three-tier platform (IaaS, PaaS, SaaS) designed for migrating public services to the cloud using microservices, enabling collaboration between PAs, SMEs, and citizens to co-create public utility services.;It defines an approach for building an ecosystem in which PAs, small and medium-size enterprises, and citizens can co-create new and innovative public utility services.;"Coprodução de Valor Público; Governança Digital";It involves four European Cities: Bremerhaven (Germany), Lecce (Italy), Novisad (Serbia) and Santander (Spain).;"Alemanha; Itália; Sérvia; Espanha";The CLIPS platform includes an Open Data Federation node to allow access to the Open Data sets from different federated Municipalities, as if they were a single data source for front-end applications.;implementado em produção;;Offers the ability to respond more quickly, reduce service delivery costs and be more responsive to end-user needs through the co-creation of innovative public utility services.;It defines an approach for building an ecosystem in which PAs, small and medium-size enterprises, and citizens can co-create new and innovative public utility services.;coletiva;It defines an approach for building an ecosystem in which PAs, small and medium-size enterprises, and citizens can co-create new and innovative public utility services.;Citizens participate by co-creating new and innovative public utility services within a collaborative ecosystem powered by cloud-based building blocks.;providing an API to connect the microservices present with each other.;"What: API-based microservice connectivity; Why: To allow access to data as a single source; Where: Federated Municipalities; When: During service delivery; Who: Government employees and external stakeholders; How: Through a three-tier cloud platform; How much: Not specified.";P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;Ciancarini, P. et al. (2024). DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, Volume 12.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
SAO Framework;A framework for the automation of IoT security, integrating key elements for security automation and orchestration for IoT systems.;SAO integrates the key elements for security automation and orchestration for IoT systems, including threat modeling, security and privacy by design, trust management, security configuration, threat monitoring, patching, compliance check, and secure data sharing.;"Automatização e IA; Governança Digital";general;Não especificado;An entire framework, referred to as SAO, regarding the automation of IoT security has been proposed in [178].;proposto;;Provides a systematic approach to handle complex security challenges in interconnected IoT environments through automation and orchestration.;nenhum;nenhum;nenhum;nenhum;SAO integrates the key elements for security automation and orchestration for IoT systems;"What: Security automation and orchestration framework; Why: To manage IoT data security challenges; Where: IoT infrastructures; When: Security lifecycle management; Who: System administrators; How: Integrating threat modeling, monitoring, and patching; How much: Not specified.";P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;Ciancarini, P. et al. (2024). DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, Volume 12.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_005;12000;gemini-3.1-flash-lite-preview;;
GaaP (Government as a Platform);A collaborative development model where a community of partners, providers, and citizens share and enhance digital public processes and capabilities to extend them for the benefit of Society.;GaaP (Government as a Platform) is a new way of building digital public services using a collaborative development model by a community of partners, providers and citizens;"Coprodução de Valor Público; Governança Digital";The Italian public administration as a platform is studied in [33];Itália;the efficiency granted by GaaP does not necessarily imply the creation of value for the citizens;implementado em produção;;Provides efficiency in service delivery, though creates value only if modularity and ecosystem coordination are prioritized.;by a community of partners, providers and citizens to share and enhance digital public processes;coletiva;collaborative development model by a community of partners, providers and citizens to share and enhance digital public processes;Participação em comunidades de parceiros e cidadãos para estender e aprimorar capacidades e processos digitais públicos.;;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, v. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
Educational Framework for DT Skills;A framework composed of five components (competency model, educational approach, maturity model, didactic model, and certification system) to ensure successful digital transformation.;"The components of the framework were intended to define: (a) a competency model useful to describe the required competencies; ... (e) a competency certification system";"Governança Digital; Cidadania Digital";general;Global;designed, developed, and tested to achieve the educational goals;protótipo;;Enhances the ability of citizens and organizations to understand and communicate their competencies, ensuring quality and transparency in DT strategy.;to coach organizations and citizens to understand and communicate their competencies;individual;Participação no modelo de certificação e monitoramento de competências para alinhamento com demandas da administração digital.;Cidadãos e organizações participam através da atualização de seus modelos de competência e certificação digital.;;nenhum;P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, v. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
Digital Twins for Co-creation;A model based on Digital Twins that allows for the co-creation and evaluation of public services regarding urban planning or service outcomes.;A model based on Digital Twins that allows co-creation, as well as evaluation of the final result regarding public services;"Coprodução de Valor Público; Automatização e IA";with a planned test of the model in Sofia;Sofia (Bulgária);with a planned test of the model in Sofia;em desenvolvimento para produção;;Permite a avaliação simulada de serviços públicos antes da implementação final, aumentando a precisão da entrega de valor.;allows co-creation, as well as evaluation;coletiva;Engajamento na simulação de cenários de serviços públicos através da tecnologia Digital Twin.;Cidadãos participam da cocriação de serviços através de ambientes virtuais de simulação para avaliação de resultados.;A model based on Digital Twins that allows co-creation, as well as evaluation of the final result;"What; Digital Twins modeling; Why; To allow co-creation and evaluation of public services; Where; Sofia; When; Planned test; Who; PA and citizens; How; By simulating public service outcomes; How much; Not specified";P. Ciancarini et al.;2024;DT in the PAs: A Guided Tour for Computer Scientists;CIANCARINI, P. et al. DT in the PAs: A Guided Tour for Computer Scientists. IEEE Access, v. 12, 2024.;2,02605E+13;New Prompt;Ciancarini et al. - 2024 - Digital Transformation in the Public Administrations A Guided Tour for Computer Scientists.pdf_part_006;12000;gemini-3.1-flash-lite-preview;;
